objectid,element,iiifthumburl
159651,painted surface,"https://api.nga.gov/iiif/d29f0e1c-b1e2-4bad-a63f-72ab236a647a/full/!200,200/0/default.jpg"
177131,painted surface,"https://api.nga.gov/iiif/3676623a-96ad-4365-810e-d14bcb6fd698/full/!200,200/0/default.jpg"
19,painted surface,"https://api.nga.gov/iiif/a21cc457-7ddf-4c4d-9934-8039bc919864/full/!200,200/0/default.jpg"
20,painted surface,"https://api.nga.gov/iiif/d80a9e0f-0424-46ba-86f1-afd821e843b4/full/!200,200/0/default.jpg"
25,painted surface,"https://api.nga.gov/iiif/82e62b74-1316-4ed3-9bf2-504e3939edec/full/!200,200/0/default.jpg"
40,painted surface,"https://api.nga.gov/iiif/3ec34856-8851-4913-8af2-a58605f45d2a/full/!200,200/0/default.jpg"
46,painted surface,"https://api.nga.gov/iiif/46633bd6-4834-40fb-8ce0-fb975c731dc1/full/!200,200/0/default.jpg"
49,painted surface,"https://api.nga.gov/iiif/8835af10-db33-41e3-8684-4fc3117c2a15/full/!200,200/0/default.jpg"
60,painted surface,"https://api.nga.gov/iiif/b705a403-3496-42e8-abf5-a37e34c32198/full/!200,200/0/default.jpg"
259,painted surface,"https://api.nga.gov/iiif/8af6e0ff-0847-4335-8fe3-72702e74fca5/full/!200,200/0/default.jpg"
358,painted surface,"https://api.nga.gov/iiif/1aa5a852-ac13-42ad-860d-e5606c0e8587/full/!200,200/0/default.jpg"
365,painted surface,"https://api.nga.gov/iiif/7961759b-b387-4fa5-a005-1bb77e6305bc/full/!200,200/0/default.jpg"
395,painted surface,"https://api.nga.gov/iiif/7f89c7c7-a5cf-499d-a7ab-d2aa33e360d1/full/!200,200/0/default.jpg"
407,painted surface,"https://api.nga.gov/iiif/d03d911a-9d6d-4eb5-ab44-298db3d40c10/full/!200,200/0/default.jpg"
436,painted surface,"https://api.nga.gov/iiif/a2ef8440-9638-4900-bd55-e6061de7524a/full/!200,200/0/default.jpg"
460,painted surface,"https://api.nga.gov/iiif/7cb81e27-9f59-43de-829c-dff8edd3a609/full/!200,200/0/default.jpg"
496,painted surface,"https://api.nga.gov/iiif/2ea2d362-7c35-4819-860d-d3c7de2db4b8/full/!200,200/0/default.jpg"
497,painted surface,"https://api.nga.gov/iiif/3a948539-d3c8-4be3-b055-c23f97ed018f/full/!200,200/0/default.jpg"
1141,painted surface,"https://api.nga.gov/iiif/a8a8fcd6-496e-40cb-a4b9-e4001642490b/full/!200,200/0/default.jpg"
1154,painted surface,"https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e/full/!200,200/0/default.jpg"
1186,painted surface,"https://api.nga.gov/iiif/3c4d40ea-b148-4a1f-b0d8-840929cbb973/full/!200,200/0/default.jpg"
1236,painted surface,"https://api.nga.gov/iiif/c948cf32-e6c7-41a0-a053-0ad0562960c4/full/!200,200/0/default.jpg"
3200,painted surface,"https://api.nga.gov/iiif/d20acee9-c24e-4d81-96c0-bb4d55efa42b/full/!200,200/0/default.jpg"
37633,painted surface,"https://api.nga.gov/iiif/1632458b-c6b1-43f5-802d-db2f6cb1fe03/full/!200,200/0/default.jpg"
41595,painted surface,"https://api.nga.gov/iiif/ffb111b5-5cc1-41f8-918f-c8a973709d0c/full/!200,200/0/default.jpg"
41653,painted surface,"https://api.nga.gov/iiif/1a0bd5c7-54f0-49e9-b570-aaa680278896/full/!200,200/0/default.jpg"
41658,painted surface,"https://api.nga.gov/iiif/b805508a-ffe6-49d3-9a95-ae83e1046b18/full/!200,200/0/default.jpg"
41660,painted surface,"https://api.nga.gov/iiif/1a761edd-c52e-47c0-b422-df074e14c803/full/!200,200/0/default.jpg"
41662,painted surface,"https://api.nga.gov/iiif/664f0dda-dd6e-4588-8870-b38ebe2a1611/full/!200,200/0/default.jpg"
41668,painted surface,"https://api.nga.gov/iiif/b54422f0-2996-4b60-a3bb-61c7af7655e8/full/!200,200/0/default.jpg"
41669,painted surface,"https://api.nga.gov/iiif/60ea795a-ca3d-44db-9d51-cb24794c8247/full/!200,200/0/default.jpg"
41670,painted surface,"https://api.nga.gov/iiif/f1218b9a-8b6d-4936-9fd9-3066f1951443/full/!200,200/0/default.jpg"
41688,painted surface,"https://api.nga.gov/iiif/74632dfe-6945-4d2b-b5aa-371df62fd24e/full/!200,200/0/default.jpg"
41698,painted surface,"https://api.nga.gov/iiif/2fb43ee0-b4bb-4fea-9868-f265225b18c4/full/!200,200/0/default.jpg"
42396,painted surface,"https://api.nga.gov/iiif/45a22557-b0b9-4c27-88c6-054ecd26081e/full/!200,200/0/default.jpg"
45888,painted surface,"https://api.nga.gov/iiif/d5e24c15-d22d-4f60-83b6-816c2fe41bf0/full/!200,200/0/default.jpg"
46049,painted surface,"https://api.nga.gov/iiif/41128a83-48a8-4b9b-9552-d936c2fdf58d/full/!200,200/0/default.jpg"
46122,painted surface,"https://api.nga.gov/iiif/dd9974c4-961f-42fc-97ce-18b07547579d/full/!200,200/0/default.jpg"
46123,painted surface,"https://api.nga.gov/iiif/cec0d2f6-ba96-43b4-8156-a235554f7e13/full/!200,200/0/default.jpg"
46148,painted surface,"https://api.nga.gov/iiif/244fe732-1479-4963-a716-ab62b8ac4879/full/!200,200/0/default.jpg"
46165,painted surface,"https://api.nga.gov/iiif/70d0deef-9f12-4d5e-a1bf-d76179ed576e/full/!200,200/0/default.jpg"
46435,painted surface,"https://api.nga.gov/iiif/db30ea5b-a94a-4cb2-bc67-79a2343554bf/full/!200,200/0/default.jpg"
46436,painted surface,"https://api.nga.gov/iiif/e2a39f5b-1589-4205-b661-d28b65dd3184/full/!200,200/0/default.jpg"
50280,painted surface,"https://api.nga.gov/iiif/7b1264b8-bb06-4d2a-992b-75bf1a3a5126/full/!200,200/0/default.jpg"
52215,painted surface,"https://api.nga.gov/iiif/6462ab17-0175-403d-9af4-fa89dc453263/full/!200,200/0/default.jpg"
56148,painted surface,"https://api.nga.gov/iiif/92c3ca05-2878-4152-856e-5ce764defe51/full/!200,200/0/default.jpg"
59889,painted surface,"https://api.nga.gov/iiif/d23363f9-99f9-463f-9972-6b7503ae5e1a/full/!200,200/0/default.jpg"
69273,painted surface,"https://api.nga.gov/iiif/7509e979-3e91-48ed-ba87-92018ee9d149/full/!200,200/0/default.jpg"
69283,painted surface,"https://api.nga.gov/iiif/ed124042-a947-4772-837b-92ff05a78c91/full/!200,200/0/default.jpg"
